path,dataset,method,label
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00252.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id28_0004.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id28_0005.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id46_0002.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00103.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id22_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id48_0001.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00129.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id56_0005.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id47_id44_0002.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00100.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\Deepfakes\c23\videos\644_657.mp4,faceforensics,Deepfakes,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id30_id9_0006.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id24_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id20_id3_0004.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id26_0009.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id43_id39_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\FaceSwap\c23\videos\033_097.mp4,faceforensics,FaceSwap,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id23_id35_0004.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id30_id31_0002.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id39_id43_0001.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id25_0006.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id25_0010.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id47_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id6_id0_0004.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id34_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id13_0006.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id29_id35_0008.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id42_id41_0000.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00222.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\Face2Face\c23\videos\284_263.mp4,faceforensics,Face2Face,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00203.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id38_id28_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id28_id1_0002.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id0_id17_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id26_id6_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id48_id46_0005.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id3_id37_0008.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id28_id37_0007.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\fake-dvuhqhgapq-1.mp4,dfdc,dfdc,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id32_id28_0000.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id30_id29_0007.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id31_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id22_0002.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id5_0003.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\fake-arfxxftkqg-0.mp4,dfdc,dfdc,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\fake-izurqowaxf-1.mp4,dfdc,dfdc,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\FaceSwap\c23\videos\263_284.mp4,faceforensics,FaceSwap,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id50_0009.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id6_id30_0009.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id4_0003.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id37_id35_0000.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id2_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id43_0001.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00210.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id7_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00119.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id1_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id20_id19_0008.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id52_id50_0007.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\NeuralTextures\c23\videos\672_720.mp4,faceforensics,NeuralTextures,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id3_0004.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id60_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\fake-nttcjrrynk-0.mp4,dfdc,dfdc,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id20_0002.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id9_id0_0001.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\NeuralTextures\c23\videos\648_654.mp4,faceforensics,NeuralTextures,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id26_0003.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id16_id17_0013.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\fake-qypwgbrgct-1.mp4,dfdc,dfdc,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00006.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id0_0004.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id37_0009.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\FaceSwap\c23\videos\252_266.mp4,faceforensics,FaceSwap,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\Deepfakes\c23\videos\044_945.mp4,faceforensics,Deepfakes,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id20_0005.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id28_0009.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id2_id0_0000.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id35_id34_0008.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id34_0005.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id24_id26_0002.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id20_0007.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id43_id47_0005.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id29_id34_0002.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id6_id37_0005.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id36_0005.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00162.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id49_id52_0008.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00202.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id39_0009.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id45_0004.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id38_0004.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\NeuralTextures\c23\videos\828_830.mp4,faceforensics,NeuralTextures,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id8_0006.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id59_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\Face2Face\c23\videos\917_924.mp4,faceforensics,Face2Face,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id40_id47_0008.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id4_id35_0000.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id9_0004.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id26_0007.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\real-ekzlzfmhoo-0.mp4,dfdc,dfdc,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\Face2Face\c23\videos\183_253.mp4,faceforensics,Face2Face,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id59_id61_0002.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00107.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id4_id20_0004.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id42_id40_0002.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id6_0001.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id55_id53_0007.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00039.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id52_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id59_0006.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id17_id1_0003.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id27_0004.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id47_0006.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id22_0003.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00122.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id45_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id25_0007.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id0_id2_0008.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id31_id1_0009.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id19_0002.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id25_id26_0007.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id31_0001.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00071.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id29_id30_0004.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id61_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\Deepfakes\c23\videos\159_175.mp4,faceforensics,Deepfakes,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id28_id22_0007.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id37_0000.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\YouTube-real\00223.mp4,celebdf,YouTube-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id36_0007.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id23_id30_0005.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id56_0008.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\real-wknpfatwev-0.mp4,dfdc,dfdc,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\FaceSwap\c23\videos\657_644.mp4,faceforensics,FaceSwap,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id25_0009.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\faceforensics\manipulated_sequences\NeuralTextures\c23\videos\599_585.mp4,faceforensics,NeuralTextures,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id17_id28_0001.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id16_id23_0005.mp4,celebdf,Celeb-synthesis,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-real\id43_0007.mp4,celebdf,Celeb-real,real
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\dfdc\dfdctrain\fake-izurqowaxf-0.mp4,dfdc,dfdc,fake
C:\Users\Dani\Downloads\diploma_structure\deepfake-detection-system\data\raw\celebdf\Celeb-synthesis\id26_id37_0009.mp4,celebdf,Celeb-synthesis,fake
